name,lat0,lon0,diameter,type,radius,index
0,SegnerC,-57.777343,313.886717,18.526,0.0,9.263,0
1,,2.699219,93.785153,19.426,0.0,9.713,1
2,,61.414062,244.742188,17.472,0.0,8.736,2
3,CoriolisW,3.053125,168.0625,37.0,0.0,18.5,3
4,LundmarkG,-40.210937,155.757812,27.419,0.0,13.7095,4
5,HenyeyV,14.113279,205.61328,25.526,0.0,12.763,5
6,Hausen,-65.242187,271.570313,167.0,0.0,83.5,6
7,,44.945312,122.164062,27.481,0.0,13.7405,7
8,,12.671875,196.21875,16.109,0.0,8.0545,8
9,GrimaldiQ,-4.824218,295.066407,19.579,0.0,9.7895,9
10,,34.476562,124.710937,23.21,0.0,11.605,10
11,Karpinskiy,72.664062,167.101562,92.0,1.0,46.0,11
12,,-22.375,79.15625,18.004,0.0,9.002,12
13,,26.976562,233.726563,35.738,0.0,17.869,13
14,,59.242187,238.070313,24.948,0.0,12.474,14
15,,17.304687,224.242188,15.843,0.0,7.9215,15
16,,-48.320312,246.898438,15.895,0.0,7.9475,16
17,,10.429687,202.523438,18.948,0.0,9.474,17
18,,-29.875,200.171875,23.69,0.0,11.845,18
19,,25.101562,231.695313,55.79,0.0,27.895,19
20,Respighi,2.83906,71.915624,18.0,0.0,9.0,20
21,,70.40625,139.53125,22.743,0.0,11.3715,21
22,,-3.507812,224.304688,21.419,0.0,10.7095,22
23,NechoV,-4.597656,120.910156,16.0,0.0,8.0,23
24,AgatharchidesA,-23.269531,331.527343,15.526,0.0,7.763,24
25,T.Mayer,15.553125,330.80625,33.0,0.0,16.5,25
26,BoguslawskyL,-70.66797,36.40234,21.526,0.0,10.763,26
27,,8.882812,241.351563,15.895,0.0,7.9475,27
28,ParrotD,-14.262496,3.654684,20.052,0.0,10.026,28
29,MostingM,-1.346875,355.684375,31.948,0.0,15.974,29
30,FridmanC,-10.585937,235.023438,35.052,0.0,17.526,30
31,,-36.929687,201.195313,16.105,0.0,8.0525,31
32,,-42.226562,51.007812,35.738,0.0,17.869,32
33,Ricco,74.960937,176.648437,63.105,0.0,31.5525,33
34,FracastoriusC,-24.607812,34.506256,16.948,0.0,8.474,34
35,Capuanus,-34.13125,333.315625,59.0,0.0,29.5,35
36,SchillerH,-50.64375,322.253125,57.472,0.0,28.736,36
37,HahnA,29.676564,69.7,17.474,0.0,8.737,37
38,,-43.554687,223.851563,22.633,0.0,11.3165,38
39,,1.867187,242.851563,27.686,0.0,13.843,39
40,RoccaH,-12.933592,294.472655,24.579,0.0,12.2895,40
41,,31.210937,243.242188,15.052,0.0,7.526,41
42,,55.5,272.015625,34.114,0.0,17.057,42
43,,28.695312,115.585937,17.895,0.0,8.9475,43
